instance_id,strategy,difficulty,semantic_evaluator,valid,hard_score,semantic_score,total_score,violations,attempts,time_ms,message
inst_0001,direct,baja,llm,False,0.8000,0.85,0.8150,1,1,27086.506,"Estimado cliente, te invitamos a participar en nuestra próxima actividad, un evento exclusivo que te permitirá conocer a otros clientes y expertos en el sector. Será una oportunidad única para establecer contactos valiosos y aprender de las últimas tendencias. ¡No te pierdas esta oportunidad!"
inst_0001,repair,baja,llm,False,0.8000,0.85,0.8150,1,2,4839.285,"Estimado cliente, le invitamos a participar en nuestra próxima actividad, un evento innovador que promete revolucionar su negocio. Será una oportunidad única para conectarse con otros líderes y descubrir nuevas tendencias. ¡No se pierda la oportunidad de estar al tanto de lo último en su sector!"
inst_0001,multi,baja,llm,False,0.8000,0.85,0.8150,1,2,2596.42,"Estimado cliente, nos complace invitarte a participar en nuestra próxima actividad, un evento exclusivo que te permitirá conocer a otros clientes y expertos en el sector. Será una excelente oportunidad para establecer contactos valiosos y aprender sobre las últimas tendencias. Esperamos verte allí."
inst_0002,direct,baja,llm,True,1.0000,0.85,0.9550,0,1,1037.484,"Estimado cliente, le recordamos que el pago de la factura correspondiente a la fecha de 15 de junio debe ser realizado antes del 20 de junio. Por favor, verifique su calendario y realice el pago a tiempo para evitar cualquier inconveniente. Atentamente, su equipo de atención al cliente."
inst_0002,repair,baja,llm,True,1.0000,0.85,0.9550,0,1,2062.414,"Estimado cliente, le recordamos que nuestra empresa cerrará sus oficinas el próximo lunes 17 de julio debido a la fecha de vacaciones anuales. Por lo tanto, le pedimos que realice cualquier trámite pendiente antes de ese día. Agradezco su atención a este asunto."
inst_0002,multi,baja,llm,True,1.0000,0.85,0.9550,0,1,1766.715,"Estimado cliente, le recordamos que nuestra empresa cerrará sus oficinas el próximo lunes 17 de julio debido a la fecha de vacaciones anuales. Por favor, coordine sus asuntos pendientes antes de esa fecha. Agradezco su atención a este asunto."
inst_0003,direct,baja,llm,True,1.0000,0.675,0.9025,0,1,925.062,"Estimado amigo, me alegra expresar mi reconocimiento por tu reciente éxito en tu carrera profesional. Tu dedicación y esfuerzo han sido fundamentales para alcanzar este logro. Me complace felicitarte por este hito importante en tu vida. Agradezco la oportunidad de compartir esta emoción contigo."
inst_0003,repair,baja,llm,True,1.0000,0.85,0.9550,0,2,1533.802,"Estimado amigo, me dirijo a ti con el más sincero reconocimiento por tu reciente éxito. Tu perseverancia y dedicación han sido fundamentales para alcanzar este logro. Me complace ver que tu esfuerzo ha sido recompensado con el reconocimiento que mereces. Te agradezco la oportunidad de compartir mi felicitación contigo."
inst_0003,multi,baja,llm,False,0.8000,0.8875,0.8262,1,1,10387.041,"Querido amigo, me alegra expresarte mi más sincero reconocimiento por tu reciente éxito. Tu perseverancia y dedicación han sido fundamentales para alcanzar este logro. Me complace ver que tus esfuerzos han sido recompensados con un reconocimiento merecido. Te felicito de corazón por este triunfo. Agradezco la oportunidad de compartir mi felicitación contigo."
inst_0004,direct,baja,llm,True,1.0000,0.8875,0.9662,0,1,6794.21,"Estimado coordinador, me disculpo por cualquier inconveniente causado por la demora en encontrar una solución adecuada para el proyecto. Entiendo que la falta de progreso ha generado incertidumbre y frustración. Estoy trabajando arduamente para encontrar una solución efectiva y oportuna. Agradezco su comprensión y apoyo en este momento."
inst_0004,repair,baja,llm,True,1.0000,0.85,0.9550,0,1,14210.984,"Estimado coordinador, me disculpo por cualquier inconveniente causado por mi retraso en encontrar una solución para el proyecto. He estado trabajando arduamente para encontrar una solución efectiva y estoy cerca de lograrlo. Agradezco su paciencia y comprensión en este momento."
inst_0004,multi,baja,llm,True,1.0000,0.85,0.9550,0,2,7346.907,"Hola coordinador, me disculpo por cualquier inconveniente causado por mi retraso en encontrar una solución efectiva para el proyecto. Entiendo que la falta de progreso ha generado preocupación y estoy comprometido a encontrar una solución que satisfaga a todos los involucrados. Estoy trabajando arduamente para encontrar una solución que nos permita avanzar. Agradezco su comprensión y apoyo en este momento."
inst_0005,direct,baja,llm,True,1.0000,0.975,0.9925,0,1,4523.703,"Estimado profesor, me complace felicitarlo por su éxito en la última evaluación. Su dedicación y esfuerzo han sido fundamentales para lograr este resultado. Su compromiso con la enseñanza es un ejemplo a seguir. Agradezco su dedicación a sus estudiantes. Atentamente."
inst_0005,repair,baja,llm,True,1.0000,0.975,0.9925,0,2,6660.472,"Estimado profesor, me alegra informarle que su dedicación y esfuerzo han sido fundamentales para el éxito de nuestro proyecto. Su capacidad para guiar y motivar a los estudiantes ha sido un factor clave en su logro. Su compromiso con la enseñanza es un ejemplo a seguir. Le agradezco su colaboración."
inst_0005,multi,baja,llm,True,1.0000,0.975,0.9925,0,1,9624.687,"Estimado profesor, me complace felicitarle por el éxito obtenido en su reciente evaluación. Su dedicación y esfuerzo han sido fundamentales para lograr este logro. Su compromiso con la enseñanza es un ejemplo a seguir y un reconocimiento a su valiosa labor. Atentamente."
inst_0006,direct,media,llm,True,1.0000,0.85,0.9550,0,1,8728.396,"Hola, necesito tu ayuda con una petición. El plazo para finalizar el proyecto se acerca y aún falta trabajo por hacer. ¿Podrías informarme sobre el estado actual y si hay algún problema que pueda retrasarlo? Gracias por tu tiempo."
inst_0006,repair,media,llm,True,1.0000,0.85,0.9550,0,2,6522.011,"Hola, necesito tu ayuda con una petición. ¿Podrías informarme sobre el plazo para la entrega del proyecto? Quiero asegurarme de que estemos a tiempo y no haya problemas con la entrega. Gracias por tu atención a esto."
inst_0006,multi,media,llm,True,1.0000,0.85,0.9550,0,1,4888.153,"Hola, necesito tu ayuda con una petición. El plazo para finalizar el proyecto se acerca y aún falta trabajo por hacer. ¿Podrías informarme sobre el estado actual y si hay alguna posibilidad de extender el plazo? Gracias por tu tiempo."
inst_0007,direct,media,llm,False,0.8000,0.85,0.8150,1,1,1609.015,"Querido cliente, te invitamos a confirmar tu asistencia a nuestra próxima actividad, donde podrás conocer a otros clientes y expertos en el sector. Será una excelente oportunidad para establecer contactos y aprender sobre las últimas tendencias. Esperamos tu confirmación lo antes posible."
inst_0007,repair,media,llm,False,0.8000,0.85,0.8150,1,2,8376.828,"Hola, queremos que te unas a nuestra actividad de lanzamiento de nuevos productos. Por favor, confirma tu asistencia a través de nuestra plataforma de confirmación. Estamos emocionados de compartir esta experiencia contigo. ¡Esperamos verte pronto y hacer de esta actividad un éxito!"
inst_0007,multi,media,llm,False,0.6000,0.85,0.6750,2,1,9658.035,"Hola, queremos que participes en nuestra actividad de lanzamiento de nuevos productos. Para confirmación, necesitamos tu asistencia el próximo sábado a las 10:00 am. Por favor, confirma tu presencia a la brevedad posible. Estamos ansiosos por verte allí."
inst_0008,direct,media,llm,True,1.0000,0.875,0.9625,0,1,6051.712,"Estimado profesor, me disculpo por el inconveniente que he causado en la clase. Entiendo que mi ausencia ha afectado el compromiso de mis compañeros y espero poder recuperar el tiempo perdido en la próxima sesión. Agradezco su comprensión y espero poder cumplir con mi responsabilidad."
inst_0008,repair,media,llm,True,1.0000,0.875,0.9625,0,1,7274.446,"Estimado profesor, me disculpo por el inconveniente que he causado en la última clase. Entiendo que mi falta de compromiso con el trabajo en equipo ha afectado negativamente al grupo. Me comprometo a mejorar y aportar mi parte en el futuro. Agradezco su comprensión y espero poder recuperar su confianza."
inst_0008,multi,media,llm,True,1.0000,0.9,0.9700,0,1,6613.437,"Estimado profesor, me disculpo por el inconveniente que he causado en la clase. Entiendo que mi ausencia ha afectado el compromiso de mis compañeros y espero que puedan recuperarse pronto. Me comprometo a mejorar y a no repetir este error en el futuro. Agradezco su comprensión y apoyo."
inst_0009,direct,media,llm,True,1.0000,0.8875,0.9662,0,1,4735.928,"Estimado compañero, me dirijo a usted para expresar mi más sincero reconocimiento por el esfuerzo que ha demostrado en su trabajo reciente. Su dedicación y compromiso han sido fundamentales para el éxito del proyecto. Su contribución ha sido invaluable y ha superado todas las expectativas. Le agradezco por su compromiso y le deseo todo lo mejor en sus futuras actividades."
inst_0009,repair,media,llm,True,1.0000,0.8875,0.9662,0,1,10645.215,"Estimado compañero, me dirijo a usted para expresar mi más sincero reconocimiento por el esfuerzo que ha demostrado en su trabajo reciente. Su dedicación y compromiso han sido fundamentales para el éxito del proyecto. Su contribución ha sido invaluable y merece ser destacada. Le agradezco por su compromiso y le deseo todo lo mejor en sus futuras actividades."
inst_0009,multi,media,llm,True,1.0000,0.85,0.9550,0,1,7888.472,"Estimado compañero, me dirijo a usted para expresar mi más sincero reconocimiento por el esfuerzo que ha demostrado en su trabajo reciente. Su dedicación y compromiso han sido fundamentales para el éxito del proyecto. Su contribución ha sido de gran valor y ha merecido todo el reconocimiento. Agradezco su colaboración."
inst_0010,direct,media,llm,False,0.8000,0.85,0.8150,1,1,3992.358,"Estimado equipo, necesitamos coordinar un cambio importante en la organización para el próximo lunes. Por favor, revise la información proporcionada y nos avise si tiene alguna pregunta o inquietud. Agradezco su colaboración en este proceso."
inst_0010,repair,media,llm,True,1.0000,0.85,0.9550,0,1,6855.258,"Estimado equipo, es fundamental que todos estén al tanto de la fecha límite para la entrega de la información necesaria para la coordinación del cambio en la organización. Por favor, asegúrense de proporcionar la información requerida a tiempo para evitar retrasos en el proceso. Agradezco su colaboración."
inst_0010,multi,media,llm,True,1.0000,0.85,0.9550,0,1,12294.974,"Estimado equipo, es fundamental que todos estén al tanto de la fecha límite para la entrega de la información necesaria para la coordinación del cambio en la organización. Por favor, asegúrense de proporcionar la información requerida a tiempo para evitar retrasos en la implementación. Agradezco su cooperación."
inst_0011,direct,alta,llm,False,0.8000,0.875,0.8225,1,1,7907.101,"Estimado profesor, necesito su apoyo para resolver un problema con mi tarea. Me gustaría saber si puedo tener una respuesta más detallada sobre el tema que se abordará en la próxima clase. ¿Podría proporcionarme una fecha límite para que pueda planificar mi trabajo? Me gustaría asegurarme de que tenga suficiente tiempo para completar la tarea dentro del plazo establecido."
inst_0011,repair,alta,llm,True,1.0000,0.85,0.9550,0,1,12341.576,"Estimado profesor, necesito su apoyo para resolver un problema que me ha surgido en mi trabajo. Me gustaría saber si puedo tener una respuesta más detallada sobre el plazo para la entrega de la tarea. Me gustaría saber si puedo contar con su apoyo para cumplir con los requisitos. Agradezco su atención a este asunto."
inst_0011,multi,alta,llm,True,1.0000,0.875,0.9625,0,2,2349.331,"Estimado profesor, necesito su apoyo para resolver un problema. Me gustaría saber si puedo tener una respuesta más detallada sobre el tema que estamos estudiando. ¿Podría proporcionarme una respuesta más completa antes del plazo establecido para la entrega de la tarea? Me gustaría poder entender mejor el tema y así poder hacer un mejor trabajo. Agradezco su comprensión y apoyo en este momento."
inst_0012,direct,alta,llm,False,0.4000,0.65,0.4750,3,1,2601.071,"Querido amigo, me gustaría recordarte que tenemos una reunión pendiente para el próximo martes. Es importante que estés allí a tiempo, ya que el tiempo es limitado y no queremos perder la oportunidad de discutir los detalles importantes. Te agradezco tu atención a este recordatorio."
inst_0012,repair,alta,llm,True,1.0000,0.65,0.8950,0,2,7530.904,"Estimado amigo, me gustaría recordarte que tienes una tarea pendiente para la fecha del próximo lunes. Es importante que la completes a tiempo, ya que el tiempo es limitado y no queremos que se pierda la oportunidad de realizarla. Por favor, no te olvides de ella. Agradezco tu atención a este recordatorio."
inst_0012,multi,alta,llm,True,1.0000,0.65,0.8950,0,1,9213.296,"Estimado amigo, me gustaría recordarte que tienes una tarea pendiente para la fecha del próximo lunes. Es importante que la completes a tiempo, ya que el retraso podría afectar el resultado y perderíamos el tiempo que podríamos haber utilizado de manera más eficiente. Por favor, no te olvides de esta tarea importante. Agradezco tu atención a este recordatorio."
inst_0013,direct,alta,llm,True,1.0000,0.85,0.9550,0,1,3391.575,"Estimado profesor, me dirijo a usted para recordarle que la fecha límite para la revisión de los trabajos es el próximo martes. Por favor, asegúrese de tener todo listo con anticipación, ya que el tiempo es limitado y no queremos que se pierda. Agradezco su atención a este asunto."
inst_0013,repair,alta,llm,True,1.0000,0.85,0.9550,0,2,12427.073,"Estimado profesor, le recuerdo que la fecha límite para la revisión del trabajo es el próximo martes. Por favor, asegúrese de tener todo listo con anticipación para evitar retrasos. Le agradezco su atención a este asunto importante y le deseo un buen uso del tiempo para completar la tarea. Agradezco su colaboración y disposición para la revisión."
inst_0013,multi,alta,llm,False,0.8000,0.85,0.8150,1,1,6759.579,"Estimado profesor, le recuerdo que la fecha límite para la revisión del trabajo es el próximo martes. Por favor, asegúrese de tener todo listo con anticipación para evitar problemas con el tiempo. Agradezco su atención a este asunto."
inst_0014,direct,alta,llm,False,0.6000,0.85,0.6750,2,1,5459.254,"Hola compañero, espero que estés bien. Necesito tu participación en un proyecto importante que se llevará a cabo el próximo lunes. Por favor, me gustaría recibir tu confirmación sobre tu asistencia a la reunión. Tu presencia es fundamental para el éxito del evento. Gracias por tu apoyo y participación."
inst_0014,repair,alta,llm,False,0.8000,0.85,0.8150,1,2,13328.341,"Hola compañero, espero que estés bien. Quería hablar contigo sobre la fecha de la próxima reunión. Necesito tu participación para que podamos avanzar con los planes. Por favor, me gustaría recibir tu confirmación lo antes posible. Te agradezco tu tiempo y consideración, espero tu respuesta pronto."
inst_0014,multi,alta,llm,False,0.8000,0.85,0.8150,1,1,15590.097,"Hola compañero, espero que estés bien. Quería hablar contigo sobre la fecha de nuestra próxima reunión. Necesito tu participación para asegurarme de que todo salga bien. Por favor, me gustaría recibir tu confirmación lo antes posible. Te agradezco de antemano tu tiempo y consideración."
inst_0015,direct,alta,llm,True,1.0000,0.85,0.9550,0,1,3533.704,"Estimado cliente, le extendemos nuestro reconocimiento por su logro y esfuerzo en alcanzar el éxito en su proyecto. Su motivación y dedicación han sido fundamentales para lograr este resultado. Agradecemos su confianza en nosotros y esperamos seguir trabajando juntos en el futuro. Agradezco su preferencia."
inst_0015,repair,alta,llm,True,1.0000,0.85,0.9550,0,1,3548.811,"Estimado cliente, le extendemos nuestro reconocimiento por su logro y esfuerzo en alcanzar el éxito en su proyecto. Su motivación y dedicación han sido fundamentales para lograr este resultado. Agradecemos su confianza en nosotros y esperamos seguir trabajando juntos en el futuro. Agradezco su preferencia."
inst_0015,multi,alta,llm,True,1.0000,0.8875,0.9662,0,1,8269.45,"Estimado cliente, nos complace expresar nuestro reconocimiento por su logro y esfuerzo en alcanzar el éxito en su proyecto. Su motivación y dedicación han sido fundamentales para lograr este resultado. Agradecemos su confianza en nosotros y esperamos seguir trabajando juntos en el futuro. Agradezco su oportunidad de colaborar con nosotros."
